# Curated RepBase family -> (repFamily, repClass) for the hg38 reference index.
#
# Provenance: columns 1, 4 and 5 of the RepBase block (lines 5277-6500) of
# examples/inputs/hg38/MASTER_FILELIST.20201203...wmiRs.tsv, the 2020 reference file.
# Same derivation style as refdata/repbase18.05-classes.txt and -drop-exact.txt.
#
# WHY IT EXISTS (-475.42): 354 of these 1,224 families have no genomic instances in the
# modern UCSC rmsk track, so no repClass/repFamily is available for them and column 4 --
# the label reads are counted under -- would otherwise fall back to the family's own name,
# splitting e.g. alpha-satellite variants out of centr instead of pooling them.
#
# CIRCULAR: derived from the reference, so it must be EXCLUDED when measuring how well an
# autogenerated hg38 filelist reproduces that reference (-475.22). It is consulted only
# AFTER the rmsk table, so current RepeatMasker calls always win and post-2020
# reclassification stays visible rather than being frozen.
#
# Mouse uses this file too: 170 mouse RepBase families share an exact family name with a
# human one, and 167 of 168 shared names carry the identical RepBase class token in both
# species, so a shared name is the same consensus family.
family	repFamily	repClass
MIRB	MIR	SINE
MIR	MIR	SINE
L2C	L2	LINE
ALUJB	Alu	SINE
ALUSX1	Alu	SINE
ALUSX	Alu	SINE
ALUY	Alu	SINE
ALUSZ	Alu	SINE
MIRC	MIR	SINE
L2B	L2	LINE
ALUJR	Alu	SINE
MIR3	MIR	SINE
ALUJO	Alu	SINE
ALUSQ2	Alu	SINE
L2	L2	LINE
ALUSP	Alu	SINE
ALUSZ6	Alu	SINE
L3	CR1	LINE
ALUSG	Alu	SINE
ALUSC	Alu	SINE
MER5A	hAT-Charlie	DNA
L1ME4A	L1	LINE
ALUSX3	Alu	SINE
L1ME1	L1	LINE
L1MC4	L1	LINE
MER5B	hAT-Charlie	DNA
L1MB7	L1	LINE
HAL1	L1	LINE
ALUSC8	Alu	SINE
THE1B	ERVL-MaLR	LTR
MLT1D	ERVL-MaLR	LTR
MLT1A0	ERVL-MaLR	LTR
ALUJR4	Alu	SINE
MSTA	ERVL-MaLR	LTR
MLT1C	ERVL-MaLR	LTR
ALUSQ	Alu	SINE
MLT1B	ERVL-MaLR	LTR
L1MB3	L1	LINE
MLT1K	ERVL-MaLR	LTR
MER20	hAT-Charlie	DNA
L1MB8	L1	LINE
L1MA9	L1	LINE
MER5A1	hAT-Charlie	DNA
L1ME3A	L1	LINE
L1MC5	L1	LINE
MLT1J	ERVL-MaLR	LTR
L1PA16	L1	LINE
MER58A	hAT-Charlie	DNA
L1MC3	L1	LINE
L1PB1	L1	LINE
L1PA7	L1	LINE
L1MC1	L1	LINE
L1ME2	L1	LINE
THE1D	ERVL-MaLR	LTR
TIGGER1	TcMar-Tigger	DNA
L1PA4	L1	LINE
MLT1L	ERVL-MaLR	LTR
L1PA5	L1	LINE
ALUSX4	Alu	SINE
L1MA8	L1	LINE
L1MA4	L1	LINE
L1MD2	L1	LINE
MER3	hAT-Charlie	DNA
L1PA3	L1	LINE
MLT1I	ERVL-MaLR	LTR
L1MB5	L1	LINE
MLT1H	ERVL-MaLR	LTR
THE1C	ERVL-MaLR	LTR
MER33	hAT-Charlie	DNA
MER2	TcMar-Tigger	DNA
L1ME3	L1	LINE
L1MB4	L1	LINE
L1MA3	L1	LINE
L1MB2	L1	LINE
L1PA13	L1	LINE
LTR33	ERVL	LTR
ALUSG7	Alu	SINE
L1MA7	L1	LINE
MSTB	ERVL-MaLR	LTR
MER103C	hAT-Charlie	DNA
L1PA15	L1	LINE
L1PA8	L1	LINE
L1PREC2	L1	LINE
MADE1	TcMar-Mariner	DNA
FRAM	Alu	SINE
ALUSG4	Alu	SINE
MSTD	ERVL-MaLR	LTR
L1PB4	L1	LINE
L1MA2	L1	LINE
L1PA10	L1	LINE
MER58B	hAT-Charlie	DNA
ALUSC5	Alu	SINE
L1MD1	L1	LINE
MLT1A1	ERVL-MaLR	LTR
MLT1J2	ERVL-MaLR	LTR
LTR16C	ERVL	LTR
TIGGER3B	TcMar-Tigger	DNA
L1MC2	L1	LINE
L1MA4A	L1	LINE
L1MB1	L1	LINE
MLT1F2	ERVL-MaLR	LTR
L1PA6	L1	LINE
MER53	hAT	DNA
CHARLIE1A	hAT-Charlie	DNA
MER21C	ERVL	LTR
MLT1N2	ERVL-MaLR	LTR
MAMSINE1	tRNA-RTE	SINE
L1MA6	L1	LINE
MER1B	hAT-Charlie	DNA
HAL1B	L1	LINE
L1MD3	L1	LINE
L1MA10	L1	LINE
L1PA2	L1	LINE
MSTB1	ERVL-MaLR	LTR
MLT1J1	ERVL-MaLR	LTR
MLT1O	ERVL-MaLR	LTR
TIGGER15A	TcMar-Tigger	DNA
MLT1H2	ERVL-MaLR	LTR
ALU	Alu	SINE
MLT2B4	ERVL	LTR
LTR78	ERV1	LTR
L1M4B	L1	LINE
MLT2D	ERVL	LTR
L1MA5	L1	LINE
MER94	hAT-Blackjack	DNA
MLT1F	ERVL-MaLR	LTR
L1MA1	L1	LINE
THE1A	ERVL-MaLR	LTR
FAM	Alu	SINE
MER112	hAT-Charlie	DNA
MER30	hAT-Charlie	DNA
LTR16A	ERVL	LTR
MAMREP605	LTR	LTR
MER20B	hAT-Charlie	DNA
L1PA11	L1	LINE
MER117	hAT-Charlie	DNA
MLT1E2	ERVL-MaLR	LTR
ALUYA5	Alu	SINE
MLT2A2	ERVL	LTR
LTR79	ERVL	LTR
MER113	hAT-Charlie	DNA
MLT2A1	ERVL	LTR
MLT1H1	ERVL-MaLR	LTR
CHARLIE7	hAT-Charlie	DNA
CHARLIE2B	hAT-Charlie	DNA
LTR67B	ERVL	LTR
MLT1G1	ERVL-MaLR	LTR
L1PB3	L1	LINE
MER81	hAT-Blackjack	DNA
TIGGER4A	TcMar-Tigger	DNA
MER63A	hAT-Blackjack	DNA
MER91A	hAT-Tip100	DNA
LTR8	ERV1	LTR
L1MA5A	L1	LINE
MLT1E1A	ERVL-MaLR	LTR
MER39	ERV1	LTR
MLT2B3	ERVL	LTR
MER1A	hAT-Charlie	DNA
MLT1F1	ERVL-MaLR	LTR
MSTC	ERVL-MaLR	LTR
L1ME5	L1	LINE
MARNA	TcMar-Mariner	DNA
TIGGER7	TcMar-Tigger	DNA
TIGGER13A	TcMar-Tigger	DNA
LTR78B	ERV1	LTR
L1PA14	L1	LINE
CHARLIE1B	hAT-Charlie	DNA
LTR16	ERVL	LTR
CHARLIE8	hAT-Charlie	DNA
CHARLIE15A	hAT-Charlie	DNA
ALUYB8	Alu	SINE
MER41B	ERV1	LTR
L1PB2	L1	LINE
MER21B	ERVL	LTR
MER46C	TcMar-Tigger	DNA
TIGGER2	TcMar-Tigger	DNA
MLT1G3	ERVL-MaLR	LTR
MLT1G	ERVL-MaLR	LTR
LTR12C	ERV1	LTR
