# transcript_id -> curated family, derived from Rfam via RNAcentral.
# taxid 10090. Regenerate with bin/python/refdata_generation/build_rfam_family_table.py.
# NOT reference-derived, so unlike hg38.repbase-class-family.tsv this
# is not circular. Validated on hg38: 255 predictions, 255 correct, 0 wrong.
transcript_id	family	rfam_id
ENSMUST00000082443	SNORD	SNORD115
ENSMUST00000082446	SNORA	SNORA73
ENSMUST00000082448	SNORA	SNORA63
ENSMUST00000082453	SNORA	SNORA73
ENSMUST00000082456	SNORD	SNORD73
ENSMUST00000082458	SNORA	SNORA9
ENSMUST00000082464	RNU2	U2
ENSMUST00000082471	SNORA	SNORA71
ENSMUST00000082476	SNORA	SNORA36
ENSMUST00000082483	SNORD	SNORD113
ENSMUST00000082493	SNORA	SNORA42
ENSMUST00000082501	SNORA	SNORA4
ENSMUST00000082503	SNORD	SNORD49
ENSMUST00000082506	SNORD	SNORD74
ENSMUST00000082507	SNORD	SNORD37
ENSMUST00000082508	SNORA	SNORA36
ENSMUST00000082517	SNORA	SNORA23
ENSMUST00000082518	SNORD	SNORD113
ENSMUST00000082519	SNORD	SNORD21
ENSMUST00000082529	SNORA	SNORA73
ENSMUST00000082537	SNORA	SNORA32
ENSMUST00000082543	SNORA	SNORA32
ENSMUST00000082550	SNORD	SNORD103
ENSMUST00000082553	SNORD	SNORD113
ENSMUST00000082559	SNORA	SNORA28
ENSMUST00000082561	SNORA	SNORA5
ENSMUST00000082562	SNORD	SNORD113
ENSMUST00000082566	SNORD	SNORD95
ENSMUST00000082577	SNORA	SNORA32
ENSMUST00000082579	SNORA	SNORA9
ENSMUST00000082580	SNORD	SNORD18
ENSMUST00000082591	SNORA	SNORA65
ENSMUST00000082593	YRNA	Y_RNA
ENSMUST00000082602	SNORD	SNORD38
ENSMUST00000082606	SNORD	SNORD42
ENSMUST00000082608	SNORD	SNORD38
ENSMUST00000082616	RNU2	U2
ENSMUST00000082622	SNORA	SNORA19
ENSMUST00000082624	SNORA	SNORA55
ENSMUST00000082629	SNORA	SNORA7
ENSMUST00000082633	SNORA	SNORA38
ENSMUST00000082635	SNORA	SNORA71
ENSMUST00000082636	SNORA	SNORA9
ENSMUST00000082639	SNORD	SNORD81
ENSMUST00000082647	SNORA	SNORA30
ENSMUST00000082651	SNORA	SNORA71
ENSMUST00000082661	SNORA	SNORA44
ENSMUST00000082662	SNORA	SNORA51
ENSMUST00000082663	SNORA	SNORA2
ENSMUST00000082666	SNORA	SNORA13
ENSMUST00000082668	SNORA	SNORA41
ENSMUST00000082670	SNORA	SNORA44
ENSMUST00000082675	SNORA	SNORA36
ENSMUST00000082678	SNORD	SNORD51
ENSMUST00000082686	SNORA	SNORA32
ENSMUST00000082687	SNORD	SNORD113
ENSMUST00000082688	SNORA	SNORA61
ENSMUST00000082700	SNORA	SNORA1
ENSMUST00000082703	SNORA	SNORA20
ENSMUST00000082712	SNORA	SNORA42
ENSMUST00000082713	SNORD	SNORD58
ENSMUST00000082718	SNORA	SNORA31
ENSMUST00000082721	SNORA	SNORA55
ENSMUST00000082724	SNORA	SNORA2
ENSMUST00000082732	SNORA	SNORA52
ENSMUST00000082737	SNORA	SNORA65
ENSMUST00000082738	SNORA	SNORA2
ENSMUST00000082745	SNORD	SNORD113
ENSMUST00000082748	RNU2	U2
ENSMUST00000082758	SNORA	SNORA67
ENSMUST00000082763	SNORA	SNORA67
ENSMUST00000082786	SNORD	SNORD113
ENSMUST00000082787	SNORD	SNORD25
ENSMUST00000082788	SNORA	SNORA44
ENSMUST00000082790	SNORA	SNORA63
ENSMUST00000082791	SNORD	SNORD96
ENSMUST00000082792	SNORD	SNORD113
ENSMUST00000082793	SNORA	SNORA71
ENSMUST00000082797	SNORD	SNORD45
ENSMUST00000082806	SNORA	SNORA70
ENSMUST00000082807	SNORD	SNORD14
ENSMUST00000082817	SNORD	SNORD46
ENSMUST00000082827	SNORA	SNORA61
ENSMUST00000082830	RNU2	U2
ENSMUST00000082832	SNORA	SNORA24
ENSMUST00000082833	SNORD	SNORD35
ENSMUST00000082834	SNORD	SNORD60
ENSMUST00000082838	RNU2	U2
ENSMUST00000082844	SNORD	SNORD59
ENSMUST00000082846	SNORD	SNORD95
ENSMUST00000082849	SNORA	SNORA71
ENSMUST00000082854	SNORA	SNORA2
ENSMUST00000082858	SNORA	SNORA32
ENSMUST00000082861	RNU2	U2
ENSMUST00000082866	SNORA	SNORA73
ENSMUST00000082870	SNORA	SNORA44
ENSMUST00000082871	RNU2	U2
ENSMUST00000082877	SNORA	SNORA32
ENSMUST00000082880	SNORA	SNORA32
ENSMUST00000082882	SNORD	SNORD24
ENSMUST00000082889	SNORD	SNORD82
ENSMUST00000082895	SNORD	SNORD36
ENSMUST00000082902	SNORA	SNORA67
ENSMUST00000082903	SNORA	SNORA75
ENSMUST00000082907	SNORA	SNORA42
ENSMUST00000082910	SNORD	SNORD58
ENSMUST00000082916	SNORA	SNORA61
ENSMUST00000082919	SNORA	SNORA38
ENSMUST00000082928	SNORA	SNORA75
ENSMUST00000082937	SNORD	SNORD58
ENSMUST00000082946	SNORA	SNORA63
ENSMUST00000082949	YRNA	Y_RNA
ENSMUST00000082963	SNORA	SNORA43
ENSMUST00000082966	SNORA	SNORA71
ENSMUST00000082967	SNORA	SNORA21
ENSMUST00000082991	SNORA	SNORA62
ENSMUST00000082996	SNORA	SNORA41
ENSMUST00000083002	SNORA	SNORA33
ENSMUST00000083011	YRNA	Y_RNA
ENSMUST00000083015	SNORA	SNORA61
