# transcript_id -> curated family, derived from Rfam via RNAcentral.
# taxid 9606. Regenerate with bin/python/refdata_generation/build_rfam_family_table.py.
# NOT reference-derived, so unlike hg38.repbase-class-family.tsv this
# is not circular. Validated on hg38: 255 predictions, 255 correct, 0 wrong.
transcript_id	family	rfam_id
ENST00000352915	YRNA	Y_RNA
ENST00000362326	SNORA	SNORA25
ENST00000362331	YRNA	Y_RNA
ENST00000362333	YRNA	Y_RNA
ENST00000362334	YRNA	Y_RNA
ENST00000362342	SNORA	SNORA73
ENST00000362350	YRNA	Y_RNA
ENST00000362352	YRNA	Y_RNA
ENST00000362353	YRNA	Y_RNA
ENST00000362354	YRNA	Y_RNA
ENST00000362371	YRNA	Y_RNA
ENST00000362375	YRNA	Y_RNA
ENST00000362393	YRNA	Y_RNA
ENST00000362396	SNORA	SNORA71
ENST00000362403	YRNA	Y_RNA
ENST00000362412	SNORA	SNORA9
ENST00000362420	YRNA	Y_RNA
ENST00000362421	YRNA	Y_RNA
ENST00000362423	SNORA	SNORA21
ENST00000362433	YRNA	Y_RNA
ENST00000362441	SNORD	SNORD115
ENST00000362451	SNORD	SNORD60
ENST00000362461	YRNA	Y_RNA
ENST00000362462	YRNA	Y_RNA
ENST00000362479	YRNA	Y_RNA
ENST00000362487	YRNA	Y_RNA
ENST00000362492	YRNA	Y_RNA
ENST00000362493	SNORA	SNORA63
ENST00000362496	YRNA	Y_RNA
ENST00000362508	YRNA	Y_RNA
ENST00000362520	SNORD	SNORD113
ENST00000362522	SNORA	SNORA25
ENST00000362528	YRNA	Y_RNA
ENST00000362535	SNORA	SNORA1
ENST00000362539	YRNA	Y_RNA
ENST00000362541	SNORD	SNORD62
ENST00000362554	YRNA	Y_RNA
ENST00000362570	YRNA	Y_RNA
ENST00000362572	YRNA	Y_RNA
ENST00000362574	YRNA	Y_RNA
ENST00000362582	SNORA	SNORA71
ENST00000362583	SNORD	SNORD115
ENST00000362589	YRNA	Y_RNA
ENST00000362591	YRNA	Y_RNA
ENST00000362596	YRNA	Y_RNA
ENST00000362600	SNORA	SNORA64
